"","temp","temp","temp","temp","temp","temp","temp","temp","temp","temp","temp","temp","temp","temp","temp","temp","temp","temp","temp","temp","temp","temp","temp","temp"
"chemnitzioides",0.385096422193197,0.0373017668365445,0.0484167887323678,-0.00536304059358822,-0.00505049229105078,0.00555607741901167,-0.010817663584605,0.00421373891468619,0.0019385236903004,0.000496392855327908,-0.00463111970729614,0.00466839884238955,-0.00241592974349154,0.00140403091225345,0.00313086380190431,0.000173789757375577,0.00137411852536946,1.61366373810337e-05,-0.000589457272272712,-0.000170442994916361,-0.000530799844149137,-0.000188645357667632,2.17466364502363e-05,7.74706919554995e-05
"corini",-0.0540421835552009,-0.0313222046259321,0.0180871864238198,-0.0162171330100362,0.0172911313355867,-0.0121179477567955,0.0017187407286728,0.00432288106585975,0.00358224350916772,-0.00650417104049046,-0.00603352755445243,-0.000574093113069268,-2.78795077436357e-05,-0.00356911916150595,0.00194980985032309,0.00183651957151121,-0.000146349220347833,0.00102958097619199,-0.000384646668131289,-0.00204877037509428,0.000927409767672362,-0.00096695190072161,-1.9488881668935e-05,0.000181534911748217
"darwini",-0.0604304243907143,-0.0113571196995951,0.0151873512976622,0.0086665050928655,-0.00351599449952429,-0.00939386190044006,-0.00672649521422043,-0.00475808643338849,-0.00210899683141946,-0.00526486450984683,0.000750396281864376,-0.000570924453037006,-0.00301284637662526,-0.000650419022499496,-0.000248784354249293,0.000963348131502096,-0.000378658579977335,-0.000643105598051268,5.66910019645666e-05,-0.00152010928145127,0.000211798001091088,1.13667477949158e-05,-6.59145963667905e-05,-0.000232991485053713
"duncanus",-0.0516142128205026,0.00454005594534157,-0.00051372632117082,-0.0128045018010104,0.0052867948104721,-0.0109255959787104,-0.00600552252635624,-0.00507321647920931,0.00317296448416226,0.00151210732872876,-0.000697048675632828,0.000926484598883725,-0.00424628479899895,5.05022146561026e-05,0.000816345882927256,-0.00138540168718459,-0.00131375693209262,-0.000567353719509423,-0.000112679997433361,0.00034575560515435,-0.000711209382941198,-0.00081543402195683,9.86927680043986e-06,-0.000104129923692026
"elaeodes",-0.065152802435805,-0.00205738162423866,0.00883022222127657,0.0149275500647746,-0.0112683109772342,-0.00448247374929531,-0.0023511725620877,0.00368164646600372,-0.00130410008085979,-0.00225677249339513,-0.00333360510138763,0.00118236701173572,-0.000272818096297326,-0.0010833904971905,0.000778666920617433,0.0024204904690116,0.00124328455484952,-0.000165076242293404,0.000792651355740557,0.000289650107076337,-4.88595452416149e-05,-0.000392652264485341,-0.000272636957177623,-2.15818889490894e-05
"eos",-0.0426443638855055,-0.0334038704707029,0.0359062581325252,0.015969033183247,-0.0106818222369192,-0.00837638151378175,0.00563529123658893,-0.000534334082782489,-0.00211103183658773,-0.00123434058725388,-0.00839875590869895,-0.00308202610777089,0.0028779473029834,-0.0020571051748895,-0.00174960417903681,0.00228010709635138,0.00354084541620471,0.000224665000993315,0.000980835357224519,-0.000219051343917462,0.000812064345712309,0.000636193927860957,8.03059355833645e-05,0.000255325972822948
"eschariferus",0.0581928321828921,-0.0303587735955271,-0.0213495756984785,-0.00134366958900576,0.0103518700855458,0.0145839235178993,0.00676381615969557,-0.0140662949317607,0.00949231898955417,-0.00214876212770629,-0.00182859911096023,-0.00200238226815236,0.00427421508264609,0.00158248205173861,0.00225796064027929,-0.00244020685444402,0.00111835778972019,0.000419124172496093,-0.000632951853082492,-0.000845698289510368,0.000992368104058677,0.00122454302683004,0.000863335029633852,0.000172104200706105
"galapaganus",0.0683226757763251,-0.0122589370179133,-0.0223021521878207,-0.00309207387350127,-0.00160550002228873,0.00456575452055392,-0.000340788084533677,-0.00126415345074007,-0.00622077169356394,0.00215104901886248,-0.00133848319628139,-0.000530951306091969,0.000716564836526502,-0.00202071227849655,-0.000781354051079553,-0.000154479337094266,0.00107688616652368,-0.000534198035822896,-0.00151910931309258,0.000671900532102278,0.000442312404416363,-0.000156542514545283,1.31928411092229e-05,-4.8392498205785e-05
"habeli",0.438285599126313,0.0480581430206023,0.0693769960859247,-0.0265179426634253,-0.0141592633274602,0.00530992670296498,-0.0134293431319774,0.00582009090690721,0.00187357943675018,0.00151187354748582,-0.0052184648096027,-0.00152132147204922,-0.00371414893401298,-0.000763196585268755,0.0040612952810801,-0.00075662493766864,-0.00100848450400152,-0.000701059662911347,-0.00204188466634645,-0.000707791074074064,0.000306931286806237,0.000393077658967647,-0.000138109812190817,0.000190423124138139
"hemaerodes",-0.0578968366671349,0.000541375326981542,0.00429745336587768,0.00729178620087718,-0.00581006132954984,-0.00920295746612299,0.00162395683071519,-0.00313483946987817,-0.0002800944761259,0.0028826066481367,-0.00122994502788133,0.00229689313470524,-0.00155888093206675,0.000492179679082105,-0.00074112231671238,-0.000698034141192666,-0.000602840518692022,-0.00198954408341507,0.000751044355011706,-0.00071765569080956,-0.0010003036272181,-0.000696900867080605,-0.000560817412651472,-0.000114693838504377
